name,project_path,primary_contract,compiler_version,label
coostoken_24ebfc20bb2e1daadd98d28341ab37d0c154f4cb,smartbugs_wild/coostoken_24ebfc20bb2e1daadd98d28341ab37d0c154f4cb,COOSToken,0.4.20,0
loopringtoken_ef68e7c694f40c8202821edf525de3782458639f,smartbugs_wild/loopringtoken_ef68e7c694f40c8202821edf525de3782458639f,LoopringToken,0.4.13,1
uppsalatoken_c86d054809623432210c107af2e3f619dcfbf652,smartbugs_wild/uppsalatoken_c86d054809623432210c107af2e3f619dcfbf652,UppsalaToken,0.4.23,0
avinoctoken_f1ca9cb74685755965c7458528a36934df52a3ef,smartbugs_wild/avinoctoken_f1ca9cb74685755965c7458528a36934df52a3ef,AVINOCToken,0.4.24,1
poctoken_c9c4d9ec2b44b241361707679d3db0876ac10ca6,smartbugs_wild/poctoken_c9c4d9ec2b44b241361707679d3db0876ac10ca6,POCToken,0.4.24,1
weth9_c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,smartbugs_wild/weth9_c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH9,0.4.20,1
bitcoinereum_3df4c372a29376d2c8df33a1b5f001cd8d68b0e,smartbugs_wild/bitcoinereum_3df4c372a29376d2c8df33a1b5f001cd8d68b0e,Bitcoinereum,0.4.17,1
scftoken_d3ebdaea9aeac98de723f640bce4aa07e2e44192,smartbugs_wild/scftoken_d3ebdaea9aeac98de723f640bce4aa07e2e44192,SCFToken,0.4.25,1
zerochaintoken_b9ef770b6a5e12e45983c5d80545258aa38f3b78,smartbugs_wild/zerochaintoken_b9ef770b6a5e12e45983c5d80545258aa38f3b78,ZerochainToken,0.4.21,0
vintoken_f3e014fe81267870624132ef3a646b8e83853a96,smartbugs_wild/vintoken_f3e014fe81267870624132ef3a646b8e83853a96,VinToken,0.4.15,0
myadvancedtoken_8ceed1e8db59acbb687a5752f0a7db815cfda5e,smartbugs_wild/myadvancedtoken_8ceed1e8db59acbb687a5752f0a7db815cfda5e,MyAdvancedToken,0.4.24,0
token_419d0d8bdd9af5e606ae2232ed285aff190e711b,smartbugs_wild/token_419d0d8bdd9af5e606ae2232ed285aff190e711b,Token,0.4.11,1
tethertoken_dac17f958d2ee523a2206206994597c13d831ec7,smartbugs_wild/tethertoken_dac17f958d2ee523a2206206994597c13d831ec7,TetherToken,0.4.18,1
kintoken_818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,smartbugs_wild/kintoken_818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,KinToken,0.4.15,1
boxtoken_63f584fa56e60e4d0fe8802b27c7e6e3b33e007f,smartbugs_wild/boxtoken_63f584fa56e60e4d0fe8802b27c7e6e3b33e007f,BOXToken,0.4.18,0
lockchain_5e3346444010135322268a4630d2ed5f8d09446c,smartbugs_wild/lockchain_5e3346444010135322268a4630d2ed5f8d09446c,LockChain,0.4.11,0
fletatoken_7788d759f21f53533051a9ae657fa05a1e068fc6,smartbugs_wild/fletatoken_7788d759f21f53533051a9ae657fa05a1e068fc6,FletaToken,0.5.4,0
debitumtoken_151202c9c18e495656f372281f493eb7698961d5,smartbugs_wild/debitumtoken_151202c9c18e495656f372281f493eb7698961d5,DebitumToken,0.4.18,0
replaysafesplit_e94b04a0fed112f3664e45adb2b8915693dd5ff3,smartbugs_wild/replaysafesplit_e94b04a0fed112f3664e45adb2b8915693dd5ff3,ReplaySafeSplit,0.3.5,0
