,level,self_information_bits,impossible
2018-04_BEC,IMPOSSIBLE,261.39,True
2020-06_Bancor,IMPOSSIBLE,274.01,True
2022-02_TecraSpace,IMPOSSIBLE,1079.58,True
2022-03_CompoundTusd,NORMAL,7.44,False
2022-03_Umbrella,IMPOSSIBLE,260.58,True
2022-04_cftoken,HIGH,9.85,False
2022-06_Snood,IMPOSSIBLE,274.68,True
2022-07_FlippazOne,EASY,5.46,False
2022-10_BEGO,IMPOSSIBLE,261.46,True
2022-10_EFLeverVault,IMPOSSIBLE,285.52,True
2022-10_Templedao,IMPOSSIBLE,265.81,True
2022-10_Uerii,EASY,3.58,False
2023-04_Swapos,IMPOSSIBLE,272.55,True
2023-05_FAPEN,IMPOSSIBLE,260.46,True
2023-05_Melo,EASY,5.58,False
2024-02_PANDORA,IMPOSSIBLE,262.17,True
2024-02_SwarmMarkets,EASY,5.81,False
2024-04_NGFS,HIGH,19.45,False
2024-05_MetaDragon,HIGH,50.04,False
2024-08_YodlRouter,IMPOSSIBLE,266.66,True
2024-09_PLN,IMPOSSIBLE,1351.52,True
2024-09_WXETA,NORMAL,9.61,False
2024-11_Ak1111,IMPOSSIBLE,262.58,True
2024-12_Pledge,IMPOSSIBLE,261.7,True
2025-01_98Token,IMPOSSIBLE,517.46,True
