baseline,d_cov_mean,cliffs_delta,wilcoxon_p,mcnemar_p
RandomFuzz,-0.0012520000000000309,0.0176,0.9578450322151184,0.0078125
FinanceFuzz,0.307216,0.8752,5.960464477539063e-08,0.00390625
RLFuzz,-0.05871200000000004,-0.2624,3.4300562234013e-05,1.0
MADFuzz·1.5B,-0.028772000000000075,-0.1248,0.015158438877439456,1.0
MADFuzz·3B,-0.022060000000000135,-0.0896,0.0864762654936656,0.375
LLMFuzz·1.5B,0.143692,0.5264,1.1920928955078125e-07,0.21875
LLMFuzz·3B,0.11286000000000002,0.4688,4.5702622398046795e-05,0.375
LLMFuzz·7B,0.12601999999999997,0.4768,3.2782554626464844e-06,1.0
SSCFuzz·3B,0.00031200000000003447,0.0144,0.975736119417176,0.625
SSCFuzz·7B,0.006199999999999983,0.0432,0.4654153212400317,0.6875
