regime,strategy,n,mean_new_bc,mean_reward,bug_rate,genuine_bug_rate
random,reentrancy_probe,34,16.412,0.917,0.029,0.029
random,arithmetic_probe,49,9.878,2.065,0.082,0.082
random,access_control_probe,36,7.833,0.966,0.0,0.0
random,price_oracle_probe,55,7.036,1.158,0.055,0.055
random,logic_error_probe,38,10.447,3.39,0.079,0.079
random,value_perturb,35,0.0,0.325,0.143,0.0
random,call_insert,30,1.833,2.113,0.167,0.033
random,call_swap,40,1.275,0.33,0.05,0.025
random,arg_shuffle,40,0.075,0.328,0.15,0.0
greedy,reentrancy_probe,175,2.589,0.143,0.011,0.011
greedy,arithmetic_probe,220,1.177,0.139,0.018,0.018
greedy,access_control_probe,244,0.799,0.201,0.02,0.02
greedy,price_oracle_probe,237,1.0,0.15,0.021,0.021
greedy,logic_error_probe,240,1.004,0.372,0.021,0.021
greedy,value_perturb,229,0.17,0.465,0.092,0.009
greedy,call_insert,283,0.58,0.262,0.064,0.004
greedy,call_swap,275,0.244,0.229,0.084,0.004
greedy,arg_shuffle,232,0.134,0.253,0.082,0.004
