feature,rho,p
cyclomatic_complexity,-0.8226241470788094,4.5029297790213407e-07
payable_fn_count,-0.6771059400789142,0.0002012236260857117
avg_branches_per_fn,-0.6323076923076923,0.0006958827969825715
loc,-0.6315384615384615,0.0007096818011476696
max_branches_per_fn,-0.5739131497032041,0.0027017801266616946
hardcoded_address_count,-0.5038021697919718,0.010239051019152833
require_count,-0.4246062521812385,0.03437679725546605
import_count,-0.4162138043665548,0.038499545639360304
total_fn_count,-0.38053100161877573,0.0605799606505286
external_fn_count,-0.377483352513559,0.06284416945736497
defi_action_count_total,-0.3526018105853072,0.08384983269065871
inheritance_depth,-0.3369902853185624,0.09950076720458273
defi_withdraw_count,-0.31928502835779865,0.1197708340199813
access_control_modifier_uses,-0.2679421903720421,0.19533603265878305
defi_deposit_count,-0.2515930934705152,0.22505500937619452
defi_swap_count,-0.21358646733173609,0.30529272030548205
defi_transfer_count,-0.1241800403865696,0.5542463596220687
assert_count,-0.1063784803955321,0.6127853712997645
uncontrolled_token_op_count,-0.09168432888354204,0.6629294381394041
defi_liquidity_count,-0.07817553451381434,0.7103132162562155
magic_number_count,-0.06816888468192553,0.7461111628777105
library_use_count,-0.06345909539059774,0.763143871927806
branch_gini,-0.033846153846153845,0.872398699612784
defi_mint_count,0.06182325925260965,0.7690853582740103
defi_burn_count,0.1270947737357221,0.5449110800682956
constraint_density,0.35237546333694425,0.08406257840967848
