feature,rho,p
max_branches_per_fn,-0.5243232029238847,0.007133403604567668
avg_branches_per_fn,-0.49134095595824867,0.01262085352594011
defi_swap_count,-0.48566847386854856,0.01384730959563561
hardcoded_address_count,-0.42897175019452727,0.03237588938161352
defi_liquidity_count,-0.4095807684298783,0.04202743447857403
defi_action_count_total,-0.34184453892266475,0.09441830211944649
defi_transfer_count,-0.2892334209621763,0.16082207685059657
branch_gini,-0.26631165487687614,0.19817283407745773
assert_count,-0.21547303008924362,0.30093856474450786
external_fn_count,-0.21484176114078757,0.30239120436432637
access_control_modifier_uses,-0.19443013987790592,0.3516930286108609
payable_fn_count,-0.1353357640889187,0.5189184720119301
cyclomatic_complexity,-0.11478481631351582,0.5848235858684248
import_count,-0.09477669375578082,0.6522496338761441
loc,-0.07689850216809492,0.7148504196773258
defi_withdraw_count,-0.05796045201478479,0.7831651422681887
defi_burn_count,0.027365513654275888,0.8966879198741536
defi_deposit_count,0.10746426102368094,0.60914291345062
total_fn_count,0.14616338161967976,0.4857026097109369
uncontrolled_token_op_count,0.15530267430973999,0.4585271523816337
magic_number_count,0.1579851469831546,0.4507049210976306
library_use_count,0.20575881082320618,0.3237726256581028
defi_mint_count,0.2227872251474943,0.2844245679773145
inheritance_depth,0.22718723842222197,0.2747715444688593
require_count,0.24633458166062905,0.23522131289210726
constraint_density,0.3679693936809325,0.07033377927687585
