,level,self_information_bits,impossible
de:2018-04_BEC,IMPOSSIBLE,261.39,True
de:2020-06_Bancor,IMPOSSIBLE,274.01,True
de:2022-02_TecraSpace,IMPOSSIBLE,1079.58,True
de:2022-03_CompoundTusd,NORMAL,7.44,False
de:2022-03_Umbrella,IMPOSSIBLE,260.58,True
de:2022-04_cftoken,HIGH,9.85,False
de:2022-06_Snood,IMPOSSIBLE,274.68,True
de:2022-07_FlippazOne,EASY,5.46,False
de:2022-10_BEGO,IMPOSSIBLE,261.46,True
de:2022-10_EFLeverVault,IMPOSSIBLE,285.52,True
de:2022-10_Templedao,IMPOSSIBLE,265.81,True
de:2022-10_Uerii,EASY,3.58,False
de:2023-04_Swapos,IMPOSSIBLE,272.55,True
de:2023-05_FAPEN,IMPOSSIBLE,260.46,True
de:2023-05_Melo,EASY,5.58,False
de:2024-02_PANDORA,IMPOSSIBLE,262.17,True
de:2024-02_SwarmMarkets,EASY,5.81,False
de:2024-04_NGFS,HIGH,19.45,False
de:2024-05_MetaDragon,HIGH,50.04,False
de:2024-08_YodlRouter,IMPOSSIBLE,266.66,True
de:2024-09_PLN,IMPOSSIBLE,1351.52,True
de:2024-09_WXETA,NORMAL,9.61,False
de:2024-11_Ak1111,IMPOSSIBLE,262.58,True
de:2024-12_Pledge,IMPOSSIBLE,261.7,True
de:2025-01_98Token,IMPOSSIBLE,517.46,True
sm:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,HIGH,10.17,False
sm:0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,NORMAL,9.0,False
sm:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,HIGH,10.17,False
sm:0x4e73b32ed6c35f570686b89848e5f39f20ecc106,HIGH,10.17,False
sm:0x561eac93c92360949ab1f1403323e6db345cbf31,HIGH,10.17,False
sm:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,HIGH,9.64,False
sm:0x8c7777c45481dba411450c228cb692ac3d550344,NORMAL,9.0,False
sm:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,HIGH,11.17,False
sm:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,HIGH,10.17,False
sm:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,NORMAL,9.0,False
sm:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,NORMAL,9.0,False
sm:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,NORMAL,9.0,False
sm:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,HIGH,11.17,False
sm:BECToken,IMPOSSIBLE,262.17,True
sm:arbitrary_location_write_simple,IMPOSSIBLE,265.0,True
sm:incorrect_constructor_name1,EASY,4.0,False
sm:incorrect_constructor_name2,EASY,4.0,False
sm:incorrect_constructor_name3,EASY,4.0,False
sm:lotto,EASY,4.0,False
sm:mapping_write,IMPOSSIBLE,260.0,True
sm:multiowned_vulnerable,EASY,5.17,False
sm:parity_wallet_bug_2,HIGH,10.4,False
sm:reentrance,NORMAL,7.0,False
sm:reentrancy_bonus,EASY,2.0,False
sm:reentrancy_dao,NORMAL,6.0,False
sm:reentrancy_simple,NORMAL,6.0,False
sm:simple_dao,NORMAL,8.17,False
sm:simple_suicide,EASY,2.0,False
sm:token,EASY,3.0,False
sm:tokensalechallenge,IMPOSSIBLE,263.17,True
sm:wallet_02_refund_nosub,HIGH,13.0,False
sm:wallet_03_wrong_constructor,NORMAL,6.0,False
sm:wallet_04_confused_sign,EASY,3.58,False
