method,model,n,k_with_bug,detection_rate,mean_bc_cov,note
RandomFuzz,1.5B,58,13.0,0.22413793103448276,0.5761413793103449,
RandomFuzz,3B,58,13.0,0.22413793103448276,0.5761413793103449,shared (LLM-free)
RandomFuzz,7B,58,13.0,0.22413793103448276,0.5761413793103449,shared (LLM-free)
FinanceFuzz,1.5B,58,7.0,0.1206896551724138,0.3995310344827586,
FinanceFuzz,3B,58,7.0,0.1206896551724138,0.3995310344827586,shared (LLM-free)
FinanceFuzz,7B,58,7.0,0.1206896551724138,0.3995310344827586,shared (LLM-free)
RLFuzz,1.5B,58,23.0,0.39655172413793105,0.6500224137931035,
RLFuzz,3B,58,23.0,0.39655172413793105,0.6500224137931035,shared (LLM-free)
RLFuzz,7B,58,23.0,0.39655172413793105,0.6500224137931035,shared (LLM-free)
MADFuzz,1.5B,58,21.0,0.3620689655172414,0.618955172413793,
MADFuzz,3B,58,20.0,0.3448275862068966,0.6125206896551725,
MADFuzz,7B,58,,,,incomplete
LLMFuzz,1.5B,58,18.0,0.3103448275862069,0.513748275862069,
LLMFuzz,3B,58,23.0,0.39655172413793105,0.5536103448275862,
LLMFuzz,7B,58,25.0,0.43103448275862066,0.5432913793103448,
SSCFuzz (ours),1.5B,58,23.0,0.39655172413793105,0.6171844827586207,
SSCFuzz (ours),3B,58,28.0,0.4827586206896552,0.6232172413793103,
SSCFuzz (ours),7B,58,27.0,0.46551724137931033,0.6226913793103449,
