baseline,d_cov_mean,cliffs_delta,wilcoxon_p,mcnemar_p
RandomFuzz,0.041043103448275886,0.23692033293697978,0.0003486153294324981,0.012939453125
FinanceFuzz,0.21765344827586203,0.5725326991676576,4.7907688847920204e-11,0.002493917942047119
RLFuzz,-0.03283793103448274,-0.09780023781212842,9.895279614262948e-06,1.0
MADFuzz·1.5B,-0.0017706896551723528,0.007134363852556481,0.6602318133804959,0.6875
MADFuzz·3B,0.004663793103448333,0.05083234244946492,0.6477992188034503,0.5078125
LLMFuzz·1.5B,0.10343620689655175,0.3397740784780024,8.799524620293248e-09,0.2265625
LLMFuzz·3B,0.0635741379310345,0.20243757431629014,7.81817694916802e-06,1.0
LLMFuzz·7B,0.07389310344827582,0.23156956004756243,7.049291656150994e-07,0.75390625
SSCFuzz·3B,-0.006032758620689749,-0.030023781212841855,0.4812293002896707,0.1796875
SSCFuzz·7B,-0.005506896551724205,-0.03596908442330559,0.8763448034020598,0.34375
