dataset,contract,category,iteration,kind,strategy,regime,new_bc,reward,bug,seed_bug,genuine
defihacklabs,defihacklabs/2022-10_Templedao,access_control,0,gen,reentrancy_probe,greedy,19.0,0.7451,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,1,gen,arithmetic_probe,greedy,15.0,1.0196,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,2,gen,access_control_probe,random,46.0,2.9412,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,3,gen,price_oracle_probe,greedy,2.0,0.6275,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,4,gen,logic_error_probe,greedy,0.0,0.7451,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,5,mut,value_perturb,random,0.0,0.7451,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,6,mut,call_insert,greedy,0.0,2.9412,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,7,mut,call_swap,greedy,0.0,1.0196,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,8,mut,arg_shuffle,greedy,0.0,1.0196,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,9,gen,reentrancy_probe,greedy,0.0,0.1569,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,10,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,11,gen,access_control_probe,greedy,0.0,0.1176,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,12,gen,price_oracle_probe,random,3.0,0.2353,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,13,gen,logic_error_probe,greedy,0.0,0.8627,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,14,mut,value_perturb,greedy,0.0,0.0,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,15,mut,call_insert,greedy,0.0,0.1569,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,16,mut,call_swap,random,0.0,0.2745,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,17,mut,arg_shuffle,greedy,0.0,0.3137,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,18,mut,call_insert,greedy,0.0,0.0784,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,19,gen,access_control_probe,greedy,13.0,4.7451,False,False,False
defihacklabs,defihacklabs/2022-10_Templedao,access_control,20,gen,access_control_probe,greedy,0.0,0.0,False,False,False
