regime,strategy,n,mean_new_bc,mean_reward,bug_rate,genuine_bug_rate
random,reentrancy_probe,79,8.785,1.826,0.101,0.101
random,arithmetic_probe,107,5.159,2.574,0.196,0.196
random,access_control_probe,80,3.85,1.095,0.125,0.125
random,price_oracle_probe,106,4.292,1.418,0.075,0.075
random,logic_error_probe,93,4.688,2.425,0.151,0.151
random,value_perturb,71,0.0,0.548,0.127,0.0
random,call_insert,81,0.679,1.216,0.222,0.062
random,call_swap,96,0.615,0.688,0.094,0.042
random,arg_shuffle,86,0.035,0.425,0.105,0.012
greedy,reentrancy_probe,479,1.47,0.604,0.063,0.063
greedy,arithmetic_probe,534,0.609,0.425,0.09,0.09
greedy,access_control_probe,554,0.44,0.345,0.076,0.076
greedy,price_oracle_probe,548,0.502,0.216,0.066,0.066
greedy,logic_error_probe,543,0.459,0.336,0.063,0.063
greedy,value_perturb,555,0.083,0.449,0.121,0.005
greedy,call_insert,609,0.323,0.468,0.112,0.025
greedy,call_swap,597,0.178,0.357,0.104,0.02
greedy,arg_shuffle,571,0.063,0.393,0.095,0.007
