feature,rho,p
cyclomatic_complexity,-0.7959448062186588,8.202194557648968e-14
loc,-0.7886880847816626,1.9651793388807552e-13
inheritance_depth,-0.7868891834639581,2.4276593838627077e-13
uncontrolled_token_op_count,-0.7646399342281405,2.8324887078697275e-12
max_branches_per_fn,-0.7593270280896516,4.8956100353797996e-12
total_fn_count,-0.7573739666938919,5.965369696398639e-12
external_fn_count,-0.7282554300584037,9.262898875585821e-11
branch_gini,-0.7115878163865083,3.8212994497821766e-10
defi_action_count_total,-0.710272430055741,4.255484515472706e-10
defi_transfer_count,-0.7079592371088571,5.134754665628226e-10
access_control_modifier_uses,-0.6463943566319146,4.236489879758865e-08
defi_mint_count,-0.5978405554815635,7.224866542726919e-07
library_use_count,-0.5920741488087206,9.813839200005224e-07
require_count,-0.5873861984373424,1.2533838332925424e-06
import_count,-0.5459474174726834,9.311272759901489e-06
defi_burn_count,-0.5337498001102948,1.59911447130394e-05
hardcoded_address_count,-0.5141066048681723,3.660432008576942e-05
magic_number_count,-0.5097613696860228,4.366510431350977e-05
defi_swap_count,-0.43338466237038736,0.0006781222449853571
avg_branches_per_fn,-0.38204585579459704,0.0030825254459634095
defi_liquidity_count,-0.30155083295233265,0.021426529066223284
payable_fn_count,-0.1689202279806704,0.2049460779799514
assert_count,-0.1278055451463985,0.3390328091222162
defi_withdraw_count,0.007608176065343619,0.9547988263727641
constraint_density,0.01755383066841333,0.8959447270794046
defi_deposit_count,0.05037376243075648,0.7072719540204657
