feature,rho,p
max_branches_per_fn,-0.4055653251332314,0.0015864817022871772
avg_branches_per_fn,-0.39337182759405215,0.002252100484250166
external_fn_count,-0.37995844564317727,0.003262245491082822
payable_fn_count,-0.3699566891031344,0.004258550528949006
loc,-0.32174341218776675,0.013783433872741968
branch_gini,-0.3171190727293772,0.015287427938026014
cyclomatic_complexity,-0.31699139896207773,0.015330870505567674
defi_swap_count,-0.31162537205426327,0.017254848462613433
hardcoded_address_count,-0.30643624670232394,0.019307669160788053
total_fn_count,-0.3030666810182502,0.02074897059653501
defi_liquidity_count,-0.27149160696284436,0.03925500328418877
access_control_modifier_uses,-0.14782561781017126,0.26812259872339095
import_count,-0.13226348815355998,0.32231195233385
defi_deposit_count,-0.11338878089096525,0.3967259904612822
defi_action_count_total,-0.09915273107597236,0.4589880309064606
library_use_count,-0.07908763859691448,0.5551052019678643
defi_transfer_count,-0.07101654250681863,0.5962908468234221
uncontrolled_token_op_count,-0.06984249877224205,0.6023928082987275
magic_number_count,-0.06690551346311994,0.6177758890976774
inheritance_depth,-0.05352942222055805,0.6898343663537754
defi_burn_count,-0.03917762035160567,0.7702981856910012
assert_count,-0.003929230531180196,0.9766470079591038
defi_mint_count,-0.003229505373439685,0.9808048897827335
require_count,0.09877275809730117,0.4607196102489347
defi_withdraw_count,0.25408847128844136,0.05427027342068614
constraint_density,0.3781953395327628,0.0034212141187753386
