dataset,method,contract,category,bugs,found,reward,bc_cov,first_bug,tokens
defihacklabs,randomfuzz,de:2018-04_BEC,business_logic,0,0,21.05,0.5263,,0
defihacklabs,randomfuzz,de:2020-06_Bancor,access_control,0,0,10.78,0.2695,,0
defihacklabs,randomfuzz,de:2022-02_TecraSpace,price_oracle_manipulation,0,0,22.52,0.5629,,0
defihacklabs,randomfuzz,de:2022-03_CompoundTusd,business_logic,0,0,13.51,0.3378,,0
defihacklabs,randomfuzz,de:2022-03_Umbrella,business_logic,0,0,21.24,0.531,,0
defihacklabs,randomfuzz,de:2022-04_cftoken,access_control,0,0,25.58,0.6396,,0
defihacklabs,randomfuzz,de:2022-06_Snood,access_control,0,0,17.89,0.4474,,0
defihacklabs,randomfuzz,de:2022-07_FlippazOne,access_control,21,1,70.47,0.5118,1.0,0
defihacklabs,randomfuzz,de:2022-10_BEGO,arbitrary_mint,0,0,19.64,0.4909,,0
defihacklabs,randomfuzz,de:2022-10_EFLeverVault,price_oracle_manipulation,0,0,6.47,0.1617,,0
defihacklabs,randomfuzz,de:2022-10_Templedao,access_control,0,0,24.71,0.6176,,0
defihacklabs,randomfuzz,de:2022-10_Uerii,arbitrary_mint,41,1,29.5,0.6125,1.0,0
defihacklabs,randomfuzz,de:2023-04_Swapos,business_logic,0,0,19.13,0.4783,,0
defihacklabs,randomfuzz,de:2023-05_FAPEN,business_logic,0,0,24.41,0.6103,,0
defihacklabs,randomfuzz,de:2023-05_Melo,arbitrary_mint,0,0,26.38,0.6596,,0
defihacklabs,randomfuzz,de:2024-02_PANDORA,business_logic,0,0,19.07,0.4767,,0
defihacklabs,randomfuzz,de:2024-02_SwarmMarkets,arbitrary_mint,0,0,22.39,0.5596,,0
defihacklabs,randomfuzz,de:2024-04_NGFS,access_control,0,0,18.25,0.4563,,0
defihacklabs,randomfuzz,de:2024-05_MetaDragon,arbitrary_mint,0,0,18.14,0.4534,,0
defihacklabs,randomfuzz,de:2024-08_YodlRouter,access_control,0,0,5.89,0.1473,,0
defihacklabs,randomfuzz,de:2024-09_PLN,price_oracle_manipulation,0,0,21.42,0.5356,,0
defihacklabs,randomfuzz,de:2024-09_WXETA,arbitrary_mint,0,0,23.45,0.5862,,0
defihacklabs,randomfuzz,de:2024-11_Ak1111,arbitrary_mint,0,0,18.81,0.4704,,0
defihacklabs,randomfuzz,de:2024-12_Pledge,access_control,0,0,23.21,0.5803,,0
defihacklabs,randomfuzz,de:2025-01_98Token,access_control,0,0,19.04,0.4761,,0
defihacklabs,financefuzz,de:2018-04_BEC,business_logic,0,0,0.0,0.2829,,0
defihacklabs,financefuzz,de:2020-06_Bancor,access_control,0,0,0.0,0.0977,,0
defihacklabs,financefuzz,de:2022-02_TecraSpace,price_oracle_manipulation,0,0,0.0,0.1257,,0
defihacklabs,financefuzz,de:2022-03_CompoundTusd,business_logic,0,0,0.0,0.079,,0
defihacklabs,financefuzz,de:2022-03_Umbrella,business_logic,0,0,0.0,0.1814,,0
defihacklabs,financefuzz,de:2022-04_cftoken,access_control,0,0,0.0,0.0844,,0
defihacklabs,financefuzz,de:2022-06_Snood,access_control,0,0,0.0,0.0888,,0
defihacklabs,financefuzz,de:2022-07_FlippazOne,access_control,1,1,0.0,0.1555,6.0,0
defihacklabs,financefuzz,de:2022-10_BEGO,arbitrary_mint,0,0,0.0,0.3636,,0
defihacklabs,financefuzz,de:2022-10_EFLeverVault,price_oracle_manipulation,0,0,0.0,0.07,,0
