,level,self_information_bits,impossible
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,HIGH,10.17,False
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,NORMAL,9.0,False
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,HIGH,10.17,False
0x4e73b32ed6c35f570686b89848e5f39f20ecc106,HIGH,10.17,False
0x561eac93c92360949ab1f1403323e6db345cbf31,HIGH,10.17,False
0x7a8721a9d64c74da899424c1b52acbf58ddc9782,HIGH,9.64,False
0x8c7777c45481dba411450c228cb692ac3d550344,NORMAL,9.0,False
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,HIGH,11.17,False
0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,HIGH,10.17,False
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,NORMAL,9.0,False
0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,NORMAL,9.0,False
0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,NORMAL,9.0,False
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,HIGH,11.17,False
BECToken,IMPOSSIBLE,262.17,True
arbitrary_location_write_simple,IMPOSSIBLE,265.0,True
incorrect_constructor_name1,EASY,4.0,False
incorrect_constructor_name2,EASY,4.0,False
incorrect_constructor_name3,EASY,4.0,False
lotto,EASY,4.0,False
mapping_write,IMPOSSIBLE,260.0,True
multiowned_vulnerable,EASY,5.17,False
parity_wallet_bug_2,HIGH,10.4,False
reentrance,NORMAL,7.0,False
reentrancy_bonus,EASY,2.0,False
reentrancy_dao,NORMAL,6.0,False
reentrancy_simple,NORMAL,6.0,False
simple_dao,NORMAL,8.17,False
simple_suicide,EASY,2.0,False
token,EASY,3.0,False
tokensalechallenge,IMPOSSIBLE,263.17,True
wallet_02_refund_nosub,HIGH,13.0,False
wallet_03_wrong_constructor,NORMAL,6.0,False
wallet_04_confused_sign,EASY,3.58,False
