method,model,n,k_with_bug,detection_rate,mean_bc_cov,note
RandomFuzz,1.5B,33,11.0,0.3333333333333333,0.6429424242424242,
RandomFuzz,3B,33,11.0,0.3333333333333333,0.6429424242424242,shared (LLM-free)
RandomFuzz,7B,33,11.0,0.3333333333333333,0.6429424242424242,shared (LLM-free)
FinanceFuzz,1.5B,33,6.0,0.18181818181818182,0.5662242424242425,
FinanceFuzz,3B,33,6.0,0.18181818181818182,0.5662242424242425,shared (LLM-free)
FinanceFuzz,7B,33,6.0,0.18181818181818182,0.5662242424242425,shared (LLM-free)
RLFuzz,1.5B,33,13.0,0.3939393939393939,0.7292636363636363,
RLFuzz,3B,33,13.0,0.3939393939393939,0.7292636363636363,shared (LLM-free)
RLFuzz,7B,33,13.0,0.3939393939393939,0.7292636363636363,shared (LLM-free)
MADFuzz,1.5B,33,11.0,0.3333333333333333,0.6973424242424242,
MADFuzz,3B,33,13.0,0.3939393939393939,0.6911181818181817,
MADFuzz,7B,33,,,,incomplete
LLMFuzz,1.5B,33,12.0,0.36363636363636365,0.6430878787878788,
LLMFuzz,3B,33,16.0,0.48484848484848486,0.6897909090909091,
LLMFuzz,7B,33,16.0,0.48484848484848486,0.6816242424242425,
SSCFuzz (ours),1.5B,33,13.0,0.3939393939393939,0.7160272727272727,
SSCFuzz (ours),3B,33,16.0,0.48484848484848486,0.7268666666666667,
SSCFuzz (ours),7B,33,15.0,0.45454545454545453,0.7304030303030303,
