baseline,d_cov_mean,cliffs_delta,wilcoxon_p,mcnemar_p
RandomFuzz,0.07308484848484842,0.5436179981634527,5.577424864260952e-05,0.6875
FinanceFuzz,0.14980303030303033,0.7933884297520661,9.323508377644746e-07,0.143463134765625
RLFuzz,-0.013236363636363713,-0.07254361799816346,0.09260069782067576,1.0
MADFuzz·1.5B,0.018684848484848526,0.051423324150596875,0.13214263150106426,0.625
MADFuzz·3B,0.02490909090909088,0.16437098255280075,0.055532980815942684,1.0
LLMFuzz·1.5B,0.07293939393939386,0.49770431588613406,0.00016172073517587766,1.0
LLMFuzz·3B,0.026236363636363613,0.2359963269054178,0.055213375542714785,0.375
LLMFuzz·7B,0.03440303030303027,0.3314967860422406,0.005472233052983158,0.375
SSCFuzz·3B,-0.010839393939394038,-0.07254361799816346,0.3878211062358883,0.375
SSCFuzz·7B,-0.014375757575757708,-0.08999081726354453,0.23931654122149526,0.625
