dataset,contract,category,iteration,kind,strategy,regime,new_bc,reward,bug,seed_bug,genuine
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,0,gen,reentrancy_probe,greedy,11.0,2.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,1,gen,arithmetic_probe,random,7.0,2.7273,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,2,gen,access_control_probe,greedy,3.0,3.0909,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,3,gen,price_oracle_probe,greedy,0.0,2.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,4,gen,logic_error_probe,greedy,0.0,2.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,5,mut,value_perturb,greedy,0.0,2.7273,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,6,mut,call_insert,greedy,0.0,3.8182,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,7,mut,call_swap,greedy,0.0,2.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,8,mut,arg_shuffle,random,0.0,2.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,9,gen,reentrancy_probe,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,10,gen,arithmetic_probe,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,11,gen,access_control_probe,random,3.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,12,gen,price_oracle_probe,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,13,gen,logic_error_probe,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,14,mut,value_perturb,random,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,15,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,16,mut,call_swap,random,3.0,1.4545,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,17,mut,arg_shuffle,greedy,0.0,1.2727,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,18,mut,call_swap,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,19,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,20,mut,arg_shuffle,random,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,21,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,22,gen,arithmetic_probe,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,23,mut,value_perturb,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,24,mut,call_insert,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,25,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,26,mut,arg_shuffle,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,27,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,28,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,29,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,30,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,31,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,32,mut,value_perturb,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,33,mut,value_perturb,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,34,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,35,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,36,mut,arg_shuffle,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,37,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,38,gen,logic_error_probe,greedy,0.0,0.5455,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,39,gen,logic_error_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,40,mut,call_insert,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,41,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,42,gen,access_control_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,43,gen,price_oracle_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,44,gen,reentrancy_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,45,gen,arithmetic_probe,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,46,mut,call_swap,greedy,1.0,2.9091,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,47,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,48,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,49,mut,call_swap,random,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,50,mut,call_swap,greedy,0.0,0.0,False,False,False
smartbugs,reentrancy/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,reentrancy,51,gen,access_control_probe,greedy,0.0,0.0,False,False,False
