regime,strategy,n,mean_new_bc,mean_reward,bug_rate,genuine_bug_rate
random,reentrancy_probe,45,3.022,2.512,0.156,0.156
random,arithmetic_probe,58,1.172,3.004,0.293,0.293
random,access_control_probe,44,0.591,1.2,0.227,0.227
random,price_oracle_probe,51,1.333,1.699,0.098,0.098
random,logic_error_probe,55,0.709,1.758,0.2,0.2
random,value_perturb,36,0.0,0.766,0.111,0.0
random,call_insert,51,0.0,0.689,0.255,0.078
random,call_swap,56,0.143,0.944,0.125,0.054
random,arg_shuffle,46,0.0,0.508,0.065,0.022
greedy,reentrancy_probe,304,0.826,0.868,0.092,0.092
greedy,arithmetic_probe,314,0.21,0.625,0.14,0.14
greedy,access_control_probe,310,0.158,0.458,0.119,0.119
greedy,price_oracle_probe,311,0.122,0.266,0.1,0.1
greedy,logic_error_probe,303,0.026,0.307,0.096,0.096
greedy,value_perturb,326,0.021,0.438,0.141,0.003
greedy,call_insert,326,0.101,0.647,0.153,0.043
greedy,call_swap,322,0.121,0.466,0.121,0.034
greedy,arg_shuffle,339,0.015,0.489,0.103,0.009
