feature,rho,p
inheritance_depth,-0.4109624136164627,0.017510446645212514
access_control_modifier_uses,-0.30392962692593967,0.08551123244512505
branch_gini,-0.2581879201253054,0.14685883416410675
uncontrolled_token_op_count,-0.23113150610607747,0.19561002565985883
loc,-0.19629470616385702,0.2735857047934776
defi_deposit_count,-0.16006181633771446,0.37357999490947563
total_fn_count,-0.1524580463246632,0.3969935953613275
external_fn_count,-0.14056543924733497,0.4352512302027028
max_branches_per_fn,-0.10404988776516196,0.5644517912610214
cyclomatic_complexity,-0.10293632173950211,0.5686495926559887
defi_transfer_count,-0.08584580912752691,0.6347796750381471
defi_action_count_total,0.03216706932835358,0.8589534933638012
payable_fn_count,0.07938459445639845,0.6605599425660281
avg_branches_per_fn,0.1086636452487787,0.547212201547366
require_count,0.15989840986655027,0.37407444220276476
constraint_density,0.23005246455633793,0.1977632241653999
defi_withdraw_count,0.41612115068531996,0.016011961134439524
