feature,rho,p
total_fn_count,-0.7110672928088945,3.5217441856719345e-06
external_fn_count,-0.6903754090963362,8.747680446523187e-06
loc,-0.6350739542767274,7.181010882719089e-05
max_branches_per_fn,-0.6242352032098291,0.00010350523381814924
cyclomatic_complexity,-0.6021402251125549,0.00020939028038348916
payable_fn_count,-0.591112157206848,0.00029203315577717667
branch_gini,-0.4843646082695767,0.004285247680085173
defi_deposit_count,-0.33503526495956226,0.056661080289361676
avg_branches_per_fn,-0.2989075842478779,0.09107306150192829
inheritance_depth,-0.08297529753694365,0.6461833644859843
access_control_modifier_uses,-0.08086941514759863,0.654600148578653
uncontrolled_token_op_count,0.01795821817491536,0.9209856832937225
defi_action_count_total,0.18528165454750103,0.30193424841152855
require_count,0.287289244648413,0.10499645408512
defi_transfer_count,0.3364538611487316,0.0555574349105687
constraint_density,0.4195415647819581,0.015078713352582773
defi_withdraw_count,0.5908139272970672,0.00029462315477876445
